id;certificado;cuit;laboratorio;gtin;troquel;comercial;forma;generico;pais;expendio;trazabilidad;presentacion;precio;es_hospitalario
46.584;48832;30500846301;Abbott Laboratories Argentina S.A.;07790440485927;477944;Actos 15 Mg;Comprimido;Pioglitazona Clorhidrato 15 Mg;;Bajo Receta;1831/12 Anexo;1 Frasco Por 30 Unidades;261,92;0
46.592;48832;30500846301;Abbott Laboratories Argentina S.A.;07790440486016;477944;Actos 30 Mg;Comprimido;Pioglitazona Clorhidrato 30 Mg;;Bajo Receta;1831/12 Anexo;1 Frasco Por 15 Unidades;141,88;0
84.141;48832;30500846301;Abbott Laboratories Argentina S.A.;07790440486023;477944;Actos 30 Mg;Comprimido;Pioglitazona Clorhidrato 30 Mg;;Bajo Receta;1831/12 Anexo;1 Frasco Por 30 Unidades;259,84;0
50.836;50494;30500846301;Abbott Laboratories Argentina S.A.;07790440101193;;Synthroid 50 Mcg;Comprimido;Levotiroxina Sodica 50 Mcg;;Bajo Receta;;1 Blister Por 60 Unidades;42,7;0
50.842;50494;30500846301;Abbott Laboratories Argentina S.A.;07790440101209;;Synthroid 75 Mcg;Comprimido;Levotiroxina Sodica 75 Mcg;;Bajo Receta;;1 Blister Por 60 Unidades;44,41;0
51.319;50494;30500846301;Abbott Laboratories Argentina S.A.;07790440101223;;Synthroid 100 Mcg;Comprimido;Levotiroxina Sodica 100 Mcg;;Bajo Receta;;1 Blister Por 60 Unidades;50,07;0
166.212;45183;30500846301;Abbott Laboratories Argentina S.A.;08002660004741;608871-1;Ritonavir Abbott;Comprimido Recubierto;Ritonavir 100 Mg;Alemania (Republica Federal De Alemania);Bajo Receta;3683/11;1 Botella Por 30 Unidades;495,54;0
54.006;49917;30500846301;Abbott Laboratories Argentina S.A.;07790440496725;496387;Tiadyl Plus;Comprimido;Hidroclorotiazida 12,5 Mg + Candesartan Cilexetil 16 Mg;;Bajo Receta;Fuera de disposición;Blister Por 30 Unidades;331,93;0
55.079;49532;30500846301;Abbott Laboratories Argentina S.A.;07790440497418;489923;Simdax;Solución Concentrada Para Diluir;Levosimendan 2,5 Mg / 1 Ml;Gran Bretaña (Reino Unido De Gran Bretaña E Irlanda Del Norte);Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 5 Ml;10624,74;0
58.528;50824;30500846301;Abbott Laboratories Argentina S.A.;08002660004093;620200;Humira Tm;Solucion Inyectable;Adalimumab 40 Mg;Alemania (Republica Federal De Alemania);Bajo Receta Archivada;3683/11;2 Frasco Ampolla Por ,8 Ml;23636,95;0
190.402;35278;30500846301;Abbott Laboratories Argentina S.A.;07790440512036;235079-3;Iruxol;Ungüento Dermico;Cloranfenicol 1 G + Colagenasa 60 Ui;Brasil (Republica Federativa Del Brasil);Bajo Receta;Fuera de disposición;1 Envase Por 50 G;385,38;0
60.078;35278;30500846301;Abbott Laboratories Argentina S.A.;07790440512029;235079-3;Iruxol;Ungüento Dermico;Cloranfenicol 1 G + Colagenasa 60 Ui;Brasil (Republica Federativa Del Brasil);Bajo Receta;Fuera de disposición;1 Envase Por 30 G;237,74;0
