principio;accion;indicaciones;presentacion;posologia;duracion;contraindicaciones;observaciones;otros_nombres;;
ABACAVIR;Antiretroviral, inhibidor nucleosídico de la transcriptasa inversa del VIH-1 y VIH-2 ;Infección por el VIH-1 o el VIH-2, en combinación con otros antiretrovirales ;" Comprimido de 300 mg 
Solución oral de 20 mg/ml, acompañado de un dosificador graduado 
";"[Prescripción bajo control médico]                                                                                Niños de menos de 25 kg: 16 mg/kg/día divididos en 2 tomas, sin sobrepasar 600 mg/día 
Niños  25 kg y adultos: 600 mg/día divididos en 2 tomas 
";Según la eficacia y la tolerancia del abacavir. ;"No administrar en caso de antecedentes de insuficiencia hepática severa o en pacientes cuya intolerancia al abacavir haya obligado a la suspensión del tratamiento. 
 Puede provocar: 
• reacciones de hipersensibilidad: erupciones cutáneas, trastornos digestivos (náuseas, 
vómitos, diarrea, dolor abdominal), tos, disnea, malestar, cefaleas, letargia, edema, 
linfoadenopatía, hipotensión arterial, mialgias, artralgia, insuficiencia renal; 
• acidosis láctica y afectación hepática. 
En todos estos casos, suspender la administración de abacavir inmediatamente y para siempre. 
Embarazo: debe ser evitado, excepto si no existe alternativa 
";"Los comprimidos son indivisibles. Si es necesario administrar medio comprimido, utilizar 
un cutter o un cortador de comprimidos para cortar el comprimido en 2 partes iguales. 
 Existen combinaciones a dosis fijas de abacavir-lamividuna (Epzicom®, etc.) y abacavir- 
zidoviduna-lamividuna (Trizivir®, etc.). 
 Conservación: temperatura inferior a 30ºC 
Una vez abierta, la solución oral se conserva durante 2 meses, a una temperatura inferior a 30ºC. 
";;;
ACICLOVIR ;Antiviral, activo sobre el virus del herpes simple y el virus del herpes zóster ;"Tratamiento del herpes oral y esofágico en sus formas recidivantes o extensas en pacientes inmunodeprimidos. 
Tratamiento de la queratouveitis herpética 
Tratamiento del herpes genital. 
Profilaxis secundaria del herpes simple en caso de recidivas severas y/o frecuentes. 
Tratamiento del herpes zóster en sus formas graves: lesiones necróticas, extensas, 
localizadas en la cara o herpes zóster oftálmico. 
";"Comprimidos de 200 mg y 800 mg. 
Existe también una suspensión oral de 40 mg/ml. 
";"[Prescripción bajo control médico]                                                                  Tratamiento del herpes oral y esofágico en sus formas recidivantes o extensas en pacientes 
inmunodeprimidos, tratamiento de la queratouveitis herpética: 
-Niños menores de 2 años: 200 mg 5 veces al día durante 7 días 
-Niños mayores de 2 años y adultos: 400 mg 5 veces al día durante 7 días. 
Tratamiento del herpes genital: 
-Niños mayores de 2 años y adultos: 400 mg 3 veces al día durante 7 días; en pacientes 
inmunodeprimidos, continuar el tratamiento hasta la desaparición de los síntomas 
Profilaxis secundaria del herpes simple en caso de recidivas severas y/o frecuentes: 
-Niños menores de 2 años: 200 mg 2 veces al día 
-Niños mayores de 2 años y adultos: 400 mg 2 veces al día 
Tratamiento del zona en sus formas graves: 
-Adultos: 800 mg 5 veces al día durante 7 días 
";;"No utilizar en caso de hipersensibilidad al aciclovir. 
Puede provocar: cefaleas, erupciones cutáneas, reacción alérgica, trastornos digestivos, aumento de las transminasas, trastornos neurológicos en pacientes con insuficiencia renal y ancianos; raramente, trastornos hematológicos. 
Reducir la posología en caso de insuficiencia renal. - Beber abundantemente durante el tratamiento. 
Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";"En el tratamiento del herpes, iniciar el aciclovir lo antes posible (dentro de las 96 horas) siguientes a la aparición de las lesiones para reducir la intensidad y la duración del episodio. 
- En el tratamiento del herpes zóster, administrar el aciclovir preferiblemente dentro de las 7 2 horas. Su administración no permite evitar el dolor post herpético pero a corta su duración. 
- Conservación: temperatura inferior a 25ºC -                                                                                              [Medicamento particularmente sesible a la humedad]
";;;
Ácido ACETILSALICÍLICO;Analgésico, antipirético, antiinflamatorio no esteroideo (AINE) ;"Dolor de intensidad leve 
Fiebre 
Trastornos reumáticos (excepto gota) 
";Comprimidos de 100 mg y 500 mg. Existen también comprimidos de 300 mg;"Dolor y fiebre: 
-Niños: 60 mg/kg/día divididos en 3 a 4 tomas 
-Adultos: 1 a 3 g/día divididos en 3 a 4 tomas                                                   Trastornos reumáticos: 
-Niños > 20 kg: 50 a 100 mg/kg/día divididos en 4 tomas 
-Adultos: 3 a 6 g/día divididos en 4 tomas 
Dosis máxima: niños: 100 mg/kg/día; adultos: 6 g/día 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
";"Dolor y fiebre: 1 a 3 días; tastornos reumáticos: según la evolución clínica";"No administrar en caso de alergia a la aspirina y AINE, úlcera gastroduodenal, anomalía de la hemostasis, hemorragia; insuficiencia renal, hepática o cardiaca severas. - No administrar a niños menores de 1 año (utilizar el paracetamol). - Administrar con precaución en ancianos y en pacientes con asma. 
No sobrepasar las dosis indicadas, especialmente en niños y ancianos. Las intoxicaciones pueden ser graves e incluso mortales. 
Puede provocar: 
• reacciones alérgicas, dolor gástrico, úlcera gastroduodenal, hemorragias; • vértigos, acúfenos (signos precoces de sobredosis). 
En todos estos casos, suspender el tratamiento con aspirina y administrar paracetamol. 
No asociar con: metotrexato, anticoagulantes o AINE. Vigilar la asociación con insulina (respuesta hipoglucémica incrementada) y corticoides. 
Embarazo: desaconsejado durante los primeros 5 meses; CONTRAINDICADO a partir del inicio del 
6º mes (utilizar el paracetamol) 
Lactancia: desaconsejado (utilizar el paracetamol) 
";"En niños menores de 16 años, es preferible el paracetamol. 
Tomar en el transcurso de una comida, preferiblemente con mucha agua. 
En el tratamiento del dolor moderado, se recomienda asociar la aspirina a la codeína o al 
tramadol. 
El ácido salicílico se utiliza también por su actividad antiagregante plaquetaria, para la 
prevención secundaria de accidentes tromboembólicos ligados a la arteriosclerosis, a la dosis de 75 a 300 mg/día. 
Conservación: temperatura inferior a 25°C - 
No utilizar si los comprimidos presentan un olor fuerte avinagrado. Un ligero olor a vinagre es normal. 
[Medicamento particularmente sesible a la luz]"; ASPIRINA;;
Ácido ASCÓRBICO;Vitamina;Tratamiento y prevención del escorbuto (carencia de vitamina C) ;"Comprimido de 50 mg 
Existen también comprimidos de 250 mg, 500 mg y 1 g. 
";"Tratamiento: 
-Niños: 150 a 200 mg/día divididos en 3 o 4 tomas 
-Adultos: 500 a 750 mg/día divididos en 3 o 4 tomas 
El tratamiento debe continuar hasta la mejora de los síntomas (de 1 a 2 semanas) y se sigue de una prevención mientras la situación lo requiera. 
Prevención: 
Niños y adultos: 25 a 50 mg/día, mientras la situación lo requiera 
";;"Este medicamento se tolera bien a las dosis indicadas. 
- Puede provocar: trastornos digestivos y litiasis renal en las dosis > 1 g/ día; alteración de 
la glicemia y de la glucosuria en las dosis ? 2 g/día. 
Embarazo: sin contraindicaciones en dosis inferiores o iguales a 1 g/día 
Lactancia: sin contraindicaciones 
";Conservación: temperatura inferior a 30ºC [Medicamento particularmente sesible a la luz y a la humedad];VITAMINA C ;;
ACIDO FUSÍDICO;Es un antibiótico esteroideo producido por Fusidium coccineum, con actividad bactericida contra bacterias Gram positivas.;"Se utiliza en infecciones cutáneas estafilocóccicas superficiales, en particular en el impétigo y la queilitis angular. Es activo contra cepas
meticilinoresistentes de Staphylococcus aureus y Staphylococcus epidermidis; también contra Nocardia asteroides y muchas cepas
de clostridios. Los estreptococos y enterococos son menos susceptibles";Crema al 2%;Se administra vía tópica, adultos y niños: crema, pomada o gel al 2%. Aplicar 3-4 veces por día.;Está contraindicado en pacientes alérgicos a los fusidatos.;;;;;
Ácido FÓLICO ;Suplemento nutricional;"Tratamiento de la anemia megaloblástica por carencia de ácido fólico: malnutrición severa, 
crisis repetidas de paludismo, parasitosis intestinales, etc. Profilaxis de defectos en el tubo neural durante el primer trimestre de embarazo.
";Comprimidos de 1, 5 y 10mg;"Dosis oral: los requerimientos diarios son 50 microgramos, pero teniendo en cuenta que su biodisponibilidad es menor al 70%,
las dosis diarias son entre 1 y 5 mg.";; ;;;;
CEFIXIMA;Antibacteriano del grupo de las cefalosporinas de tercera generación;Gonococcia genital, cistitis aguda (cuando las quinolonas están contraindicadas), pielonefritis aguda en continuación del tratamiento inyectable con ceftriaxona, fiebre tifoidea en el niño;"Comprimido o cápsula de 200 mg 
Existe también polvo para suspensión oral de 40 mg/5 ml y 100 mg/5 ml. 
";"Gonococia genital 
Adultos: 400 mg 
 Infecciones urinarias 
Niños: 8 mg/kg/día divididos en 2 tomas Adultos: 400 mg/día divididos en 2 tomas 
 Fiebre tifoidea en el niño  
Niños: 15 a 20 mg/kg/día divididos en 2 tomas 
";"Gonococia genital: dosis única 
Cistitis: 3 a 5 días 
Pielonefritis: 10 a 14 días según la gravedad 
Fiebre tifoidea: 7 días 
";"No administrar en niños de menos de 3 meses. 
No administrar en caso de alergia a las cefalosporinas. 
Administrar con precaución en caso de alergia a las penicilinas (alergia cruzada posible). 
P u e d e p ro v o c a r : t r a s t o r n o s d i g e s t i v o s ; m á s r a r a m e n t e : c e f a l e a s , v é r t i g o , re a c c i o n e s 
alérgicas (erupción cutánea, prurito, fiebre). 
En caso de reacción alérgica, suspender el tratamiento inmediatamente. 
Reducir la posología en caso de insuficiencia renal severa. 
Embarazo: sin contraindicaciones 
Lactancia: sin contraindicaciones 
";"Debido a la frecuente coexistencia del gonococo y clamidia en las uretritis y cervicitis, 
asociar sistemáticamente el tratamiento del gonococo con un tratamiento de la clamidia. 
Conservación: temperatura inferior a 25°C 
Una vez preparada, la suspensión oral se conserva durante 10 días como máximo. 
";;;
CIMETIDINA;Antiulceroso (antagonista de los receptores H2;"Prevención del riesgo de inhalación del líquido gástrico durante la anestesia: 
• en pacientes con estómago lleno (cesárea de urgencia, etc.) 
• en pacientes con riesgo de intubación difícil 
";"Comprimido efervescente de 200 mg 
Existen también comprimidos efervescentes de 800 mg. 
";"Adultos: 200 a 400 mg en una toma, una hora antes de la inducción de la anestesia (a ser 
posible) 
";;"Puede provocar: diarrea, cefaleas, vértigo, rash cutáneo, fiebre. 
No administrar con antiácidos (hidróxido de aluminio, etc.). 
";"La cimetidina efervescente puede ser sustituida por la ranitidina efervescente (Zantac®), 
otro antiulceroso antagonista de los receptores H2, a la dosis de 150 mg en una toma. 
Los comprimidos no efervescentes de cimetidina (comprimidos recubiertos de 200 mg, 
400 mg y 800 mg) y los comprimidos no efervescentes de ranitidina (comprimidos de 150 mg y 300 mg) actúan al cabo de, al menos, 30 minutos de su administración. Las formas efervescentes que contienen citrato de sodio permiten acortar ese tiempo de acción, lo que justifica su uso en cirugía de urgencia. 
 E l o m e p r a z o l ( M o p r a l ® ) e s u n i n h i b i d o r d e l a b o m b a d e p ro t o n e s , i n c o m p a t i b l e e n 
s i t u a c i o n e s d e u rg e n c i a y a q u e d e b e s e r a d m i n i s t r a d o , a l m e n o s , 4 h o r a s a n t e s d e l a intervención quirúrgica. 
 L a c i m e t i d i n a ( c o m p r i m i d o s re c u b i e r t o s ) t a m b i é n s e u t i l i z a e n e l t r a t a m i e n t o d e l a 
e n f e r m e d a d p o r re f l u j o g a s t ro e s o f á g i c o y d e l a ú l c e r a g a s t ro d u o d e n a l . P re f e r i r l a ranitidina o el omeprazol para estas indicaciones. 
Conservación: temperatura inferior a 30°C 
";;;
CLORPROMAZINA ;Antipsicótico (neuroléptico) sedante ;"Psicosis aguda o crónica 
Ansiedad severa, en caso de fracaso de las 
";"Comprimido de 25 mg . Ampolla de 50 mg (25 mg/ml, 2 ml) para inyección IM 
Existen también comprimidos de 100 mg. 
";"Psicosis aguda o crónica 
-Adultos: empezar por 75 mg/día divididos en 3 tomas; aumentar hasta 300 mg/día en 3 tomas si es necesario (max. 600 mg/día). Cuando el paciente ya está estabilizado, la dosis de mantenimiento se administra en una toma por la noche. 
Ansiedad severa, en caso de fracaso de las benzodiacepinas: 
-Adultos: 75 a 150 mg/día divididos en 3 tomas 
Sea cuál sea la indicación, reducir la posología a la mitad en ancianos. 
Utilizar la menor dosis eficaz, sobre todo en tratamientos prolongados.
";"Psicosis aguda: 3 meses como mínimo.          Psicosis crónica: un año como mínimo. La 
interrupción del tratamiento debe ser progresiva (en 4 semanas). Si aparecen signos de recaída, aumentar de nuevo la dosis. 
Ansiedad severa: 4 semanas como máximo. 
";"No administrar en caso de glaucoma de ángulo cerrado, trastornos uretro-prostáticos; en pacientes geriátricos dementes (enfermedad de Alzheimer p.ej.). 
Administrar con precaución y bajo vigilancia en pacientes > 60 años; en caso de epilepsia, estreñimiento crónico, insuficiencia hepática o renal, enfermedad de Parkinson, miastenia gravis.                                                                                                Puede provocar: 
• somnolencia (precaución al conducir vehículos o manejar maquinaria peligrosa), hipotensión ortostática, disfunción sexual; 
• efectos anticolinérgicos (sequedad de boca, trastornos de la acomodación, retención 
urinaria, estreñimiento, taquicardia); 
• síndrome extrapiramidal, disquinesia precoz o tardía, fotosensibilización (protegerse del 
sol), ictericia; síndrome neuroléptico maligno (hipertermia inexplicable con trastornos neuromusculares), raro pero que obliga a la suspensión inmediata del tratamiento. 
En caso de síntomas extrapiramidales, asociar a biperideno. 
Evitar o vigilar la asociación con: medicamentos que disminuyen el umbral epileptógeno (mefloquina, cloroquina, tramadol, antidepresivos tricíclicos o ISRS); medicamentos que deprimen el sistema nervioso central (analgésicos opioides, sedantes, antihistamínicos H1, e t c . ) ; medicamentos de efecto anticolinérgico (amitriptilina, atropina, carbamazepina, clomipramina, prometazina, etc.); hipoglicemiantes, litio. 
Evitar el alcohol durante el tratamiento. 
La clorpromazina es irritante para la piel y mucosas: no trocear los comprimidos. 
Embarazo: reevaluar la necesidad de proseguir el tratamiento; si se prosigue, vigilar la aparición de efectos extrapiramidales y/o anticolinérgicos (temblores, distensión abdominal, hiperexcitabilidad, etc.) en el recién nacido si la madre ha sido tratada con dosis altas durante el tercer trimestre. 
Lactancia: debe ser evitado 
";"En caso de agitación o agresividad en pacientes tratados con otro antipsicótico (risperidona o haloperidol p.ej.), la clorpromazina puede utilizarse durante algunos días a dosis de 75 a 150 mg/día divididos en 3 tomas. 
La clorpromazina provoca menos efectos extra piramidales que el haloperidol pero la hipotensión ortostática y los efectos anticolinérgicos son más frecuentes. 
Conservación: no requiere precauciones particulares respecto a la temperatura 
";;;
CLOMIPRAMINA;Antidepresivo tricíclico ;"Depresión mayor 
Prevención de los ataques de pánico 
";"Comprimido de 25 mg 
Existen también comprimidos de 10 mg. 
";"Adultos: empezar por 25 mg/día en una toma por la noche y aumentar gradualmente en 
una semana 75 mg/día en una toma por la noche (máx. 150 mg/día). 
 Reducir la posología a la mitad en ancianos y en caso de insuficiencia hepática o renal. 
";"Depresión: 6 meses como mínimo. La interrupción del tratamiento debe ser progresiva 
(disminución de la dosis en 4 semanas). Si aparecen signos de recaída, aumentar de nuevo la dosis. 
Prevención de los ataques de pánico: 2 a 3 meses tras la desaparición de los trastornos y luego 
retirar de manera progresiva en 4 semanas. 
";"No administrar en caso de infarto del miocardio reciente, arritmia, glaucoma de ángulo 
cerrado, trastornos uretro-prostáticos. 
Administrar con precaución y bajo vigilancia en pacientes > 60 años y en caso de epilepsia, 
estreñimiento crónico, insuficiencia hepática o renal, antecedentes de trastorno bipolar. 
Puede provocar: 
• s o m n o l e n c i a ( p re c a u c i ó n a l c o n d u c i r v e h í c u l o s o m a n e j a r m a q u i n a r i a p e l i g ro s a ) o 
insomnio, hipotensión ortostática, disfunción sexual; 
• e f e c t o s a n t i c o l i n é rg i c o s : s e q u e d a d d e b o c a , t r a s t o r n o s d e l a a c o m o d a c i ó n , 
estreñimiento, taquicardia, desordenes urinarios. Estos trastornos son transitorios o desaparecen reduciendo al dosis. Los trastornos severos (confusión mental, retención 
urinaria, trastornos del ritmo) obligan a suspender el tratamiento; 
• trastornos psíquicos: exacerbación de la ansiedad, riesgo de suicidio al inicio del 
tratamiento, episodio maníaco durante el tratamiento. - No asociar con otro antidepresivo. 
Evitar o vigilar la asociación con: medicamentos que deprimen el sistema nervioso central 
(analgésicos opioides, sedantes, antihistamínicos H1, etc.), medicamentos de efecto a n t i c o l i n é rg i c o ( a t ro p i n a , c a r b a m a z e p i n a , c l o r p ro m a z i n a , p ro m e t a z i n a , e t c . ) , medicamentos que disminuyen el umbral epileptógeno (antipsicóticos, mefloquina, tramadol, etc.), litio y otros serotoninérgicos. 
Evitar el alcohol durante el tratamiento. 
Embarazo: reevaluar la necesidad de proseguir el tratamiento; si se prosigue, vigilar al recién nacido 
durante los primeros días de vida (riesgo de trastornos neurológicos y digestivos). 
Lactancia: sin contraindicaciones 
";"El efecto antidepresor no es inmediato. Hay que esperar 3 semanas antes de evaluar una 
respuesta terapéutica. Explicarlo al paciente. 
 La clomipramina provoca menos sedación, efectos anticolinérgicos e hipotensión
ortostática que la amitriptilina. 
Conservación: no requiere precauciones particulares respecto a la temperatura 
";;;
